H3-292-oseltamivir Resistant (N294S)	sk:Viruses;p:Negarnaviricota;c:Insthoviricetes;o:Articulavirales;f:Orthomyxoviridae;g:Alphainfluenzavirus;s:Influenza A virus;d:H3-292-oseltamivir Resistant (N294S)
H3-292-oseltamivir Resistant (R292K)	sk:Viruses;p:Negarnaviricota;c:Insthoviricetes;o:Articulavirales;f:Orthomyxoviridae;g:Alphainfluenzavirus;s:Influenza A virus;d:H3-292-oseltamivir Resistant (R292K)
H3-292-oseltamivir Sensitive	sk:Viruses;p:Negarnaviricota;c:Insthoviricetes;o:Articulavirales;f:Orthomyxoviridae;g:Alphainfluenzavirus;s:Influenza A virus;d:H3-292-oseltamivir Sensitive
H5-275-oseltamivir Resistant (H275Y)	sk:Viruses;p:Negarnaviricota;c:Insthoviricetes;o:Articulavirales;f:Orthomyxoviridae;g:Alphainfluenzavirus;s:Influenza A virus;d:H5-275-oseltamivir Resistant (H275Y)
H5-275-oseltamivir Sensitive	sk:Viruses;p:Negarnaviricota;c:Insthoviricetes;o:Articulavirales;f:Orthomyxoviridae;g:Alphainfluenzavirus;s:Influenza A virus;d:H5-275-oseltamivir Sensitive
Haemophilus influenzae	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pasteurellales;f:Pasteurellaceae;g:Haemophilus;s:Haemophilus influenzae
HPIV1	sk:Viruses;p:Negarnaviricota;c:Monjiviricetes;o:Mononegavirales;f:Paramyxoviridae;g:Respirovirus;s:Human respirovirus 1
HPIV2	sk:Viruses;p:Negarnaviricota;c:Monjiviricetes;o:Mononegavirales;f:Paramyxoviridae;g:Rubulavirus;s:Human rubulavirus 2
HPIV3	sk:Viruses;p:Negarnaviricota;c:Monjiviricetes;o:Mononegavirales;f:Paramyxoviridae;g:Respirovirus;s:Human respirovirus 3
HPIV4	sk:Viruses;p:Negarnaviricota;c:Monjiviricetes;o:Mononegavirales;f:Paramyxoviridae;g:Rubulavirus;s:Human rubulavirus 4
Human adenovirus	sk:Viruses;f:Adenoviridae;g:Mastadenovirus;s:Human adenovirus
Human bocavirus	sk:Viruses;f:Parvoviridae;g:Bocaparvovirus;s:Human bocavirus
Human bocavirus 1	sk:Viruses;f:Parvoviridae;g:Bocaparvovirus;s:Primate bocaparvovirus 1;Human bocavirus 1
Human bocavirus 2	sk:Viruses;f:Parvoviridae;g:Bocaparvovirus;s:Primate bocaparvovirus 2;Human bocavirus 2
Human bocavirus 3	sk:Viruses;f:Parvoviridae;g:Bocaparvovirus;s:Primate bocaparvovirus 1;Human bocavirus 3
Human bocavirus 4	sk:Viruses;f:Parvoviridae;g:Bocaparvovirus;s:Human bocavirus 4
Human coronavirus 229E	sk:Viruses;o:Nidovirales;f:Coronaviridae;g:Alphacoronavirus;s:Human coronavirus 229E
Human coronavirus HKU1	sk:Viruses;o:Nidovirales;f:Coronaviridae;g:Betacoronavirus;s:Human coronavirus HKU1
Human coronavirus NL63	sk:Viruses;o:Nidovirales;f:Coronaviridae;g:Alphacoronavirus;s:Human coronavirus NL63
Human coronavirus OC43	sk:Viruses;o:Nidovirales;f:Coronaviridae;g:Betacoronavirus;s:Betacoronavirus 1;Human coronavirus OC43
Human echovirus	sk:Viruses;o:Picornavirales;f:Picornaviridae;g:Enterovirus;s:Human echovirus
Human mastadenovirus A	sk:Viruses;f:Adenoviridae;g:Mastadenovirus;s:Human mastadenovirus A
Human mastadenovirus B	sk:Viruses;f:Adenoviridae;g:Mastadenovirus;s:Human mastadenovirus B
Human mastadenovirus C	sk:Viruses;f:Adenoviridae;g:Mastadenovirus;s:Human mastadenovirus C
Human mastadenovirus D	sk:Viruses;f:Adenoviridae;g:Mastadenovirus;s:Human mastadenovirus D
Human mastadenovirus E	sk:Viruses;f:Adenoviridae;g:Mastadenovirus;s:Human mastadenovirus E
Human metapneumovirus	sk:Viruses;p:Negarnaviricota;c:Monjiviricetes;o:Mononegavirales;f:Pneumoviridae;g:Metapneumovirus;s:Human metapneumovirus
Human respiratory syncytial virus	sk:Viruses;p:Negarnaviricota;c:Monjiviricetes;o:Mononegavirales;f:Pneumoviridae;g:Orthopneumovirus;s:Human orthopneumovirus;Human respiratory syncytial virus
Human respiratory syncytial virus A	sk:Viruses;p:Negarnaviricota;c:Monjiviricetes;o:Mononegavirales;f:Pneumoviridae;g:Orthopneumovirus;s:Human orthopneumovirus;Human respiratory syncytial virus A
Human respiratory syncytial virus B	sk:Viruses;p:Negarnaviricota;c:Monjiviricetes;o:Mononegavirales;f:Pneumoviridae;g:Orthopneumovirus;s:Human orthopneumovirus;Human respiratory syncytial virus B
Human RNaseP	Human RNaseP
Influenza A virus	sk:Viruses;p:Negarnaviricota;c:Insthoviricetes;o:Articulavirales;f:Orthomyxoviridae;g:Alphainfluenzavirus;s:Influenza A virus
Influenza B virus	sk:Viruses;p:Negarnaviricota;c:Insthoviricetes;o:Articulavirales;f:Orthomyxoviridae;g:Betainfluenzavirus;s:Influenza B virus
Influenza B virus - Victoria	sk:Viruses;p:Negarnaviricota;c:Insthoviricetes;o:Articulavirales;f:Orthomyxoviridae;g:Betainfluenzavirus;s:Influenza B virus;Victoria
Influenza B virus - Yamagata	sk:Viruses;p:Negarnaviricota;c:Insthoviricetes;o:Articulavirales;f:Orthomyxoviridae;g:Betainfluenzavirus;s:Influenza B virus;Yamagata
Influenza C virus	sk:Viruses;p:Negarnaviricota;c:Insthoviricetes;o:Articulavirales;f:Orthomyxoviridae;g:Gammainfluenzavirus;s:Influenza C virus
Influenza C virus - Yamagata	sk:Viruses;p:Negarnaviricota;c:Insthoviricetes;o:Articulavirales;f:Orthomyxoviridae;g:Gammainfluenzavirus;s:Influenza C virus;Yamagata
Klebsiella pneumoniae	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacterales;f:Enterobacteriaceae;g:Klebsiella;s:Klebsiella pneumoniae
Legionella adelaidensis	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Legionellales;f:Legionellaceae;g:Legionella;s:Legionella adelaidensis
Legionella anisa	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Legionellales;f:Legionellaceae;g:Legionella;s:Legionella anisa
Legionella clemsonensis	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Legionellales;f:Legionellaceae;g:Legionella;s:Legionella clemsonensis
Legionella fallonii	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Legionellales;f:Legionellaceae;g:Legionella;s:Legionella fallonii
Legionella jordanis	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Legionellales;f:Legionellaceae;g:Legionella;s:Legionella jordanis
Legionella lansingensis	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Legionellales;f:Legionellaceae;g:Legionella;s:Legionella lansingensis
Legionella longbeachae	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Legionellales;f:Legionellaceae;g:Legionella;s:Legionella longbeachae
Legionella oakridgensis	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Legionellales;f:Legionellaceae;g:Legionella;s:Legionella oakridgensis
Legionella pneumophila	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Legionellales;f:Legionellaceae;g:Legionella;s:Legionella pneumophila
Legionella pneumophila sg1	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Legionellales;f:Legionellaceae;g:Legionella;s:Legionella pneumophila;t:sg1
Legionella spiritensis	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Legionellales;f:Legionellaceae;g:Legionella;s:Legionella spiritensis
Legionella waltersii	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Legionellales;f:Legionellaceae;g:Legionella;s:Legionella waltersii
MERS	sk:Viruses;o:Nidovirales;f:Coronaviridae;g:Betacoronavirus;s:Middle East respiratory syndrome-related coronavirus
Moraxella catarrhalis	sk:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Moraxellaceae;g:Moraxella;s:Moraxella catarrhalis
Mycoplasma Pneumoniae P-type 1	sk:Bacteria;p:Tenericutes;c:Mollicutes;o:Mycoplasmatales;f:Mycoplasmataceae;g:Mycoplasma;s:Mycoplasma pneumoniae;t:P1-type 1
Mycoplasma Pneumoniae P-type 2	sk:Bacteria;p:Tenericutes;c:Mollicutes;o:Mycoplasmatales;f:Mycoplasmataceae;g:Mycoplasma;s:Mycoplasma pneumoniae;t:P1-type 2
Mycoplasma pneumoniae macrolide resistant	sk:Bacteria;p:Tenericutes;c:Mollicutes;o:Mycoplasmatales;f:Mycoplasmataceae;g:Mycoplasma;s:Mycoplasma pneumoniae;d:Macrolide resistant
